,Country Name,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],Workforce Ratio Five Year Average,Workforce Ratio Five Year Median,Workforce Ratio Five Year Max,Workforce Ratio Five Year Min,Workforce Ratio Five Year STD
123,"Korea, Dem. People's Rep.",83.96987128,83.91564451,83.83124302,83.75900311,83.67438157,83.83002869799999,83.83124302,83.96987128,83.67438157,0.11848855660797533
124,"Korea, Rep.",70.79627563,71.19473142,71.80820197,72.4092176,72.35369783,71.71242489,71.80820197,72.4092176,70.79627563,0.7094470221267267
126,Kuwait,57.37699166,57.17592712,57.24989406,56.95609847,56.77278324,57.10633891,57.17592712,57.37699166,56.77278324,0.2411094595539705
127,Kyrgyz Republic,66.05674474,64.0821492,61.22916425,59.46067503,59.11137677,61.988021998,61.22916425,66.05674474,59.11137677,3.007420366175885
128,Lao PDR,95.71852723,95.68952511,95.66414986,95.64327569,95.67527177,95.678149932,95.67527177,95.71852723,95.64327569,0.028196717255256812
129,Late-demographic dividend,78.38676948,78.29476763,78.25191221,78.12841944,77.87295815,78.186965382,78.25191221,78.38676948,77.87295815,0.19861348254315123
130,Latin America & Caribbean,66.61968282,67.12903532,67.6623185,68.2545198,68.32355832,67.597822952,67.6623185,68.32355832,66.61968282,0.7312014448830446
131,Latin America & Caribbean (excluding high income),66.54672367,67.04300187,67.57350551,68.14458528,68.21018762,67.50360079000001,67.57350551,68.21018762,66.54672367,0.7146289111337681
132,Latin America & Caribbean (IDA & IBRD),66.68126706,67.20094139,67.75148068,68.35681643,68.4291473,67.683930572,67.75148068,68.4291473,66.68126706,0.7502164745764112
133,Latvia,80.04741576,81.78688625,81.18291084,81.40281747,81.48369922,81.180745908,81.40281747,81.78688625,80.04741576,0.6695043900896048
134,Least developed countries: UN classification,74.16207174,74.57492181,75.09885049,75.44200052,75.58260802,74.97209051600001,75.09885049,75.58260802,74.16207174,0.5965501915296784
135,Lebanon,31.60237947,31.70038844,31.81011081,31.97891635,32.03192743,31.824744499999998,31.81011081,32.03192743,31.60237947,0.18153409247607533
136,Lesotho,78.64024098,78.9094569,79.12613144,79.43910276,79.22016095,79.067018606,79.12613144,79.43910276,78.64024098,0.305105865061229
137,Liberia,87.55336758,88.57945963,88.93878959,89.32034179,89.38535082,88.75546188199999,88.93878959,89.38535082,87.55336758,0.7458997816073094
138,Libya,52.47041752,52.34830234,52.23686003,52.13275644,51.98132381,52.233932028000005,52.23686003,52.47041752,51.98132381,0.18911764909537862
140,Lithuania,83.92571529,84.17471783,84.03859923,83.65231785,83.46324178,83.850918396,83.92571529,84.17471783,83.46324178,0.28956867912742784
141,Low & middle income,64.16193541,64.15956271,64.18354101,64.24692339,64.0800389,64.16640028399999,64.16193541,64.24692339,64.0800389,0.05979705522041025
142,Low income,78.31474706,78.65718754,79.00003147,79.31489033,79.34704154,78.92677958800002,79.00003147,79.34704154,78.31474706,0.4415539554363913
143,Lower middle income,47.8189054,47.77010886,47.76769307,47.93417152,47.94132515,47.8464408,47.8189054,47.94132515,47.76769307,0.08585698487035986
144,Luxembourg,82.17973849,82.03968403,84.9439482,85.98327802,86.24784521,84.27889879,84.9439482,86.24784521,82.03968403,2.039883942086255
145,"Macao SAR, China",86.31550468,87.02725791,85.70400553,85.12094109,84.93918453,85.821378748,85.70400553,87.02725791,84.93918453,0.8632729888832269
146,Madagascar,93.19013137,93.37623909,93.55331564,93.72699863,93.74170583,93.517678112,93.55331564,93.74170583,93.19013137,0.2358841856871475
147,Malawi,88.36965592,88.82285426,89.26806077,89.72105702,89.50827929,89.137981452,89.26806077,89.72105702,88.36965592,0.5439778272269559
148,Malaysia,65.0344066,65.57759025,65.64924577,65.67107724,65.81930796,65.550325564,65.64924577,65.81930796,65.0344066,0.3015101342771534
149,Maldives,54.66747646,52.37050064,51.63317867,49.94413995,49.43070532,51.609200208000004,51.63317867,54.66747646,49.43070532,2.088747985502536
150,Mali,75.4558256,75.58059062,75.75536004,75.98923871,75.9778223,75.751767454,75.75536004,75.98923871,75.4558256,0.23684878453756647
151,Malta,62.96727208,64.94718554,66.46751744,68.55169113,68.66537811,66.31980886,66.46751744,68.66537811,62.96727208,2.430453097580372
153,Mauritania,45.00871072,45.13877822,45.36258645,45.65079642,45.75370746,45.382915854,45.36258645,45.75370746,45.00871072,0.31987980712863423
154,Mauritius,62.23457435,61.31510999,61.56682467,62.4483472,62.72279029,62.0575293,62.23457435,62.72279029,61.31510999,0.5955319536494239
155,Mexico,55.53642556,55.76761882,55.41108998,56.13983355,56.32106181,55.835205943999995,55.76761882,56.32106181,55.41108998,0.3881256204430895
157,Middle East & North Africa,30.04571775,30.7312019,30.49763503,30.3896153,30.40535047,30.41390409,30.40535047,30.7312019,30.04571775,0.2469377761914133
158,Middle East & North Africa (excluding high income),25.61101228,26.23166385,25.8873606,25.77421024,25.77778204,25.856405802,25.77778204,26.23166385,25.61101228,0.23180411402253198
159,Middle East & North Africa (IDA & IBRD),25.61247666,26.2478129,25.89764412,25.77969348,25.78120544,25.863766520000002,25.78120544,26.2478129,25.61247666,0.23752395431687112
160,Middle income,62.83824648,62.77581409,62.7416832,62.75045659,62.53099874,62.727439819999994,62.75045659,62.83824648,62.53099874,0.11612485671144211
161,Moldova,87.33255756,87.08398574,85.88073304,88.69563759,88.05428131,87.409439048,87.33255756,88.69563759,85.88073304,1.062885331313396
163,Mongolia,79.99970368,79.61801958,79.90386453,80.33563439,80.29645502,80.03073544,79.99970368,80.33563439,79.61801958,0.2962110075330347
164,Montenegro,78.41866994,76.37856492,75.40768464,73.8411604,74.04504962,75.618225904,75.40768464,78.41866994,73.8411604,1.8773502115956775
165,Morocco,31.76637973,31.10803462,30.48742557,30.68063688,30.60921867,30.930339093999997,30.68063688,31.76637973,30.48742557,0.5225374525171
166,Mozambique,97.2631235,97.47559541,97.73697895,98.02870566,97.81786079,97.66445286199999,97.73697895,98.02870566,97.2631235,0.2992517838893862
167,Myanmar,64.22520508,62.89442264,61.61577237,61.48215081,61.39657141,62.32282446199999,61.61577237,64.22520508,61.39657141,1.2258034160442355
168,Namibia,86.16275753,84.13606167,85.87817035,88.15358336,88.56484118,86.579082818,86.16275753,88.56484118,84.13606167,1.8066021692539682
170,Nepal,95.59654198,96.35109962,96.92089341,97.31625154,97.29273204,96.69550371800001,96.92089341,97.31625154,95.59654198,0.7278635044916931
171,Netherlands,83.05009548,83.42776095,83.9182749,84.09254677,84.33768124,83.765271868,83.9182749,84.33768124,83.05009548,0.5204714603500514
172,New Caledonia,85.27971917,85.13620288,84.85683891,84.66707302,84.46583581,84.88113395799999,84.85683891,85.27971917,84.46583581,0.33272181039958953
173,New Zealand,84.76427914,85.22286334,85.30688385,85.96128654,85.97863405,85.446789384,85.30688385,85.97863405,84.76427914,0.5203611094891201
174,Nicaragua,58.70621642,59.25441168,59.80350133,58.66851754,58.96689784,59.079908962000005,58.96689784,59.80350133,58.66851754,0.4678935897601452
175,Niger,72.3897722,72.41797012,72.47819161,72.56564343,72.40979582,72.452274636,72.41797012,72.56564343,72.3897722,0.07143524537477972
176,Nigeria,82.91917121,82.64163359,82.78566248,83.08845881,82.71620155,82.830225528,82.78566248,83.08845881,82.64163359,0.1768827395222135
177,North America,82.12553802,82.24574899,82.7812429,82.93327969,82.90023171,82.59720826200001,82.7812429,82.93327969,82.12553802,0.3823062907547688
178,North Macedonia,64.34399353,62.4998114,63.04440378,63.6955988,63.82858616,63.482478734000004,63.6955988,64.34399353,62.4998114,0.7184989581105686
180,Norway,89.63244216,89.72363476,90.08880089,89.70153994,89.84700221,89.798683992,89.72363476,90.08880089,89.63244216,0.1797276866994375
181,OECD members,75.23312225,75.55600948,75.91974152,76.23954737,76.30470622,75.850625368,75.91974152,76.30470622,75.23312225,0.4556137093146388
182,Oman,34.31419098,34.85778783,34.87911607,34.63139576,34.4691042,34.630318968,34.63139576,34.87911607,34.31419098,0.2447296196021279
183,Other small states,74.20171843,73.86966997,73.98013703,74.13321624,74.143484,74.065645134,74.13321624,74.20171843,73.86966997,0.13680148579696916
184,Pacific island small states,71.37413145,70.8445668,71.07800337,71.2848876,71.56997331,71.23031250599999,71.2848876,71.56997331,70.8445668,0.27885014520294416
185,Pakistan,29.52144251,28.46352071,27.45037878,26.48271104,26.81453047,27.746516701999997,27.45037878,29.52144251,26.48271104,1.2467915952736253
187,Panama,64.04152399,64.31853402,64.5240494,66.77751871,66.86356793,65.30503881,64.5240494,66.86356793,64.04152399,1.394347153095016
188,Papua New Guinea,96.68624054,96.78560655,96.75815779,96.67323732,96.40330349,96.661309138,96.68624054,96.78560655,96.40330349,0.15178955724581727
189,Paraguay,67.45899844,66.97324524,67.22084525,69.70964338,69.99503493,68.271553448,67.45899844,69.99503493,66.97324524,1.4567368184273342
190,Peru,81.00581086,82.08206915,82.12191228,82.53300001,82.54466027,82.05749051400001,82.12191228,82.54466027,81.00581086,0.6273412189285448
191,Philippines,65.46797908,64.01687328,61.34469377,62.76578299,62.92827601,63.304721025999996,62.92827601,65.46797908,61.34469377,1.537914020845675
192,Poland,74.84074639,74.41083142,74.07659656,74.34303948,74.28925265,74.3920933,74.34303948,74.84074639,74.07659656,0.28025050481994346
193,Portugal,83.75590787,83.34656953,83.66741239,84.49103673,84.57132904,83.966451112,83.75590787,84.57132904,83.34656953,0.5383013022704168
194,Post-demographic dividend,79.04980139,79.37919657,79.82850164,80.13664928,80.24000138,79.726830052,79.82850164,80.24000138,79.04980139,0.5051857505668557
195,Pre-demographic dividend,80.90421966,81.12747002,81.36220601,81.6969061,81.64328699,81.346817756,81.36220601,81.6969061,80.90421966,0.3371569210121346
196,Puerto Rico,64.87273474,65.20700588,65.47857745,65.79049137,65.87500175,65.444762238,65.47857745,65.87500175,64.87273474,0.4151872117490009
197,Qatar,61.90626108,61.33400814,60.78620271,60.27822166,59.97149669,60.855238056,60.78620271,61.90626108,59.97149669,0.7830362048687762
198,Romania,70.15462635,69.82788274,70.94053762,70.30582651,69.99968887,70.245712418,70.15462635,70.94053762,69.82788274,0.427142149396168
199,Russian Federation,77.88554933,77.86832463,77.76932576,78.10958109,78.04065274,77.93468671000001,77.88554933,78.10958109,77.76932576,0.13782189161163702
200,Rwanda,99.89162131,100.1492359,100.3528609,100.5838063,100.6849716,100.332499202,100.3528609,100.6849716,99.89162131,0.32239936457629725
201,Samoa,56.12572175,56.28105672,56.25717728,56.15173133,56.08770804,56.18067902400001,56.15173133,56.28105672,56.08770804,0.08430530802486211
203,Sao Tome and Principe,54.721867,54.99412178,55.32898666,55.72390461,55.69584497,55.292945004,55.32898666,55.72390461,54.721867,0.4372582107371095
204,Saudi Arabia,27.93709104,29.32980944,28.68714855,28.12227773,28.21798513,28.458862378,28.21798513,29.32980944,27.93709104,0.5599597673414786
205,Senegal,59.83685469,60.05457078,60.37608518,60.77447195,60.938207,60.39603791999999,60.37608518,60.938207,59.83685469,0.46552213444062
206,Serbia,73.21124356,74.69174841,75.54475521,75.37380609,75.47683563,74.85967778,75.37380609,75.54475521,73.21124356,0.9823541198354967
208,Sierra Leone,96.22323111,96.86239766,97.45024575,98.06486973,97.98252605,97.31665405999999,97.45024575,98.06486973,96.22323111,0.7782964666604925
209,Singapore,78.84901398,79.28519771,78.6720849,79.1942006,79.14634342,79.029368122,79.14634342,79.28519771,78.6720849,0.258108824675426
211,Slovak Republic,76.68248924,77.35569397,77.97568582,77.27682239,77.37314755,77.332767794,77.35569397,77.97568582,76.68248924,0.4586643130922093
212,Slovenia,82.64987001,84.63389338,84.72769593,84.01117745,84.19418232,84.04336381799999,84.19418232,84.72769593,82.64987001,0.8340627642562614
213,Small states,74.08531521,74.06834446,74.2505794,74.33940303,74.39509744,74.227747908,74.2505794,74.39509744,74.06834446,0.1472162880341754
214,Solomon Islands,96.09745122,96.08030587,96.04722271,96.00635811,95.96147125,96.038561832,96.04722271,96.09745122,95.96147125,0.055375023880452616
215,Somalia,28.81051702,29.08633242,29.33309952,29.55756968,29.55440698,29.268385124,29.33309952,29.55756968,28.81051702,0.32109599432354863
